SerialNumber,IPAddress,DeviceFamily,User,Password,InletConnect,SSHConnect,InletServerIP,InletServerPort,Model,Location
EOND-000000,192.168.0.1,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Guaraciaba do Norte_site|Guaraciaba do Norte_site_building 1|Guaraciaba do Norte_site_building 1_floor 1
EOND-000001,192.168.0.2,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Khathjari_site|Khathjari_site_building 1|Khathjari_site_building 1_floor 1
EOND-000002,192.168.0.3,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,New Braunfels_site|New Braunfels_site_building 1|New Braunfels_site_building 1_floor 1
EOND-000003,192.168.0.4,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Kuna_site|Kuna_site_building 1|Kuna_site_building 1_floor 1
EOND-000004,192.168.0.5,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Eupen_site|Eupen_site_building 1|Eupen_site_building 1_floor 1
EOND-000005,192.168.0.6,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Encantado_site|Encantado_site_building 1|Encantado_site_building 1_floor 1
EOND-000006,192.168.0.7,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Heule_site|Heule_site_building 1|Heule_site_building 1_floor 1
EOND-000007,192.168.0.8,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Puerto Maldonado_site|Puerto Maldonado_site_building 1|Puerto Maldonado_site_building 1_floor 1
EOND-000008,192.168.0.9,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Guiseley_site|Guiseley_site_building 1|Guiseley_site_building 1_floor 1
EOND-000009,192.168.0.10,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Ōsakasayama_site|Ōsakasayama_site_building 1|Ōsakasayama_site_building 1_floor 1
EOND-000010,192.168.0.11,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Minatitlán_site|Minatitlán_site_building 1|Minatitlán_site_building 1_floor 1
EOND-000011,192.168.0.12,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Usumatlán_site|Usumatlán_site_building 1|Usumatlán_site_building 1_floor 1
EOND-000012,192.168.0.13,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Houmt Souk_site|Houmt Souk_site_building 1|Houmt Souk_site_building 1_floor 1
EOND-000013,192.168.0.14,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Canterbury_site|Canterbury_site_building 1|Canterbury_site_building 1_floor 1
EOND-000014,192.168.0.15,EXOS,admin,Extreme@123,false,false,10.64.194.54,8090,X435-24P-4S,Hōyachō_site|Hōyachō_site_building 1|Hōyachō_site_building 1_floor 1
